forecaster,MAE,RMSE,MASE,Coverage,Interval_Width,Pinball_q10,Pinball_q90,Pinball_avg
NaiveForecaster,110.1676282051282,160.4894432485538,1.179340761319292,0.7307692307692307,300.09979166666676,30.96102371794871,30.040602884615378,30.500813301282044
SeasonalNaive,116.55169871794871,164.24409040644406,1.2476820218290225,0.725,338.9688910256411,31.115613782051277,30.891740064102557,31.003676923076917
MovingAverage7,96.34938644688644,129.10472284196044,1.03141694721198,0.7192307692307692,245.65343452380958,17.3533293040293,29.763951419413914,23.558640361721608
